student_id,student_name,course_name,login_frequency_per_week,avg_session_duration_min,video_completion_pct,quiz_attempts,forum_posts,weekend_activity_pct,preferred_time_slot,engagement_tier,completed_course
S2190,Omar Warsi,Data Science,4.7,56.3,76.1,8,11.0,39.4,Afternoon,High,Yes
S2238,Rabia Rashid,SQL Mastery,2.3,12.2,2.6,2,0.0,1.9,Morning,Low,No
S2082,Mariam Malik,Data Science,7.0,51.2,85.8,8,14.0,37.3,Morning,High,Yes
S2125,Kashif Sheikh,Python for Beginners,6.5,56.5,100.0,6,11.0,41.8,Night,High,No
S2154,Omar Khan,Machine Learning,0.0,19.1,12.7,0,0.0,18.8,Afternoon,Low,Yes
S2212,Bilal Ansari,Machine Learning,2.1,38.5,50.5,6,0.0,44.3,Morning,Medium,Yes
S2244,Mariam Rizvi,Deep Learning Fundamentals,2.5,5.7,15.9,3,1.0,32.3,Evening,Low,Yes
S2366,Zainab Iqbal,Data Science,0.4,14.4,44.3,1,0.0,12.1,Afternoon,Low,No
S2115,Mahnoor Ansari,Deep Learning Fundamentals,4.1,31.8,57.9,6,5.0,42.7,Evening,Medium,Yes
S2173,Hina Baig,Power BI & Tableau,6.4,58.4,82.5,8,12.0,27.5,Morning,High,Yes
S2145,Fatima Abbasi,Machine Learning,2.9,21.8,41.3,4,0.0,52.2,Afternoon,Medium,Yes
S2229,Mariam Rashid,Deep Learning Fundamentals,2.9,32.5,58.0,3,4.0,12.3,Evening,Medium,Yes
S2025,Zainab Baig,Deep Learning Fundamentals,3.6,23.4,82.6,7,3.0,13.6,Morning,Medium,Yes
S2129,Rabia Chaudhry,Deep Learning Fundamentals,3.4,38.5,46.5,6,0.0,25.2,Night,Medium,Yes
S2041,Adeel Khan,Deep Learning Fundamentals,1.8,28.5,46.5,5,4.0,21.2,Night,Medium,No
S2089,Sadia Malik,SQL Mastery,0.0,19.1,21.1,2,0.0,25.2,Morning,Low,Yes
S2028,Laiba Qureshi,SQL Mastery,1.6,23.0,28.2,2,1.0,20.9,Morning,Low,No
S2032,Amina Ansari,Machine Learning,5.7,40.7,95.8,6,3.0,26.8,Evening,High,Yes
S2334,Laiba Malik,Business Analytics,2.8,31.4,51.1,3,2.0,31.1,Morning,Medium,No
S2057,Adeel Chaudhry,Machine Learning,3.6,25.1,72.9,5,5.0,43.6,Evening,Medium,No
S2194,Rayyan Baig,Data Science,5.7,47.4,88.2,9,2.0,32.2,Afternoon,High,Yes
S2155,Sana Ansari,Business Analytics,2.6,34.7,56.4,7,5.0,42.4,Afternoon,Medium,Yes
S2370,Bilal Abbasi,SQL Mastery,5.6,30.8,88.1,7,8.0,52.3,Afternoon,High,Yes
S2260,Mariam Rizvi,Business Analytics,1.3,18.3,27.1,0,0.0,0.0,Morning,Low,Yes
S2135,Saad Siddiqui,Python for Beginners,2.1,33.8,50.8,3,5.0,30.4,Afternoon,Medium,No
S2102,Iqra Warsi,Business Analytics,2.4,12.4,19.6,2,0.0,24.2,Morning,Low,No
S2106,Nida Rashid,Deep Learning Fundamentals,4.9,55.4,98.1,6,8.0,55.2,Afternoon,High,Yes
S2242,Hina Siddiqui,Python for Beginners,1.9,51.8,51.2,7,2.0,17.4,Night,Medium,Yes
S2239,Laiba Siddiqui,Power BI & Tableau,1.9,11.8,24.6,1,1.0,23.6,Night,Low,No
S2038,Laiba Siddiqui,Python for Beginners,6.0,58.4,84.0,10,7.0,25.4,Afternoon,High,Yes
S2240,Talha Iqbal,Machine Learning,4.2,30.9,73.4,5,0.0,20.5,Afternoon,Medium,Yes
S2365,Sarah Hashmi,Data Science,4.7,48.5,87.7,6,11.0,49.1,Evening,High,Yes
S2099,Laiba Khan,Business Analytics,5.1,48.2,84.2,10,5.0,47.9,Evening,High,Yes
S2191,Faisal Qureshi,SQL Mastery,3.5,24.7,53.2,5,5.0,14.3,Evening,Medium,Yes
S2104,Hamza Warsi,Python for Beginners,1.6,8.3,5.7,1,0.0,36.1,Evening,Low,No
S2343,Amina Chaudhry,Machine Learning,2.9,30.7,66.8,4,3.0,1.0,Morning,Medium,No
S2158,Imran Abbasi,Deep Learning Fundamentals,0.6,23.9,52.3,1,1.0,18.5,Afternoon,Low,No
S2273,Sadia Rashid,Machine Learning,2.9,23.5,66.0,5,0.0,25.6,Night,Medium,No
S2198,Amina Rashid,Deep Learning Fundamentals,1.4,17.8,31.7,3,1.0,2.3,Night,Low,Yes
S2274,Fatima Hashmi,Python for Beginners,0.9,21.7,5.7,0,1.0,18.7,Evening,Low,No
S2117,Omar Chaudhry,Business Analytics,5.3,57.0,75.4,8,4.0,69.5,Night,High,Yes
S2084,Hamza Hashmi,Deep Learning Fundamentals,4.1,70.9,80.4,9,11.0,39.5,Night,High,No
S2056,Waqas Sheikh,SQL Mastery,5.8,32.7,78.2,6,2.0,32.0,Evening,Medium,Yes
S2138,Ahmed Malik,Deep Learning Fundamentals,1.8,25.3,67.6,4,3.0,15.8,Evening,Medium,Yes
S2108,Saad Sheikh,SQL Mastery,1.9,30.7,56.6,6,3.0,61.5,Night,Medium,No
S2202,Adeel Siddiqui,SQL Mastery,3.1,35.0,61.1,5,5.0,59.8,Morning,Medium,Yes
S2340,Iqra Abbasi,Machine Learning,5.3,69.7,64.9,9,4.0,21.3,Evening,High,Yes
S2248,Amina Hashmi,Machine Learning,3.8,49.1,68.5,6,0.0,35.2,Night,Medium,Yes
S2325,Usman Rizvi,Data Science,2.0,44.9,61.5,5,5.0,19.5,Morning,Medium,No
S2230,Sadia Chaudhry,Python for Beginners,0.8,2.5,39.4,3,1.0,35.3,Afternoon,Low,Yes
S2371,Talha Malik,Machine Learning,3.9,54.7,85.9,8,13.0,45.9,Afternoon,High,Yes
S2147,Usman Qureshi,Machine Learning,1.8,17.7,36.9,3,0.0,9.3,Afternoon,Low,No
S2222,Kashif Warsi,Deep Learning Fundamentals,4.3,58.4,91.3,8,6.0,61.1,Night,High,Yes
S2113,Yusuf Rizvi,Data Science,1.5,10.3,12.4,1,0.0,20.6,Night,Low,No
S2331,Sarah Chaudhry,Data Science,3.3,49.0,61.0,6,5.0,36.0,Evening,Medium,Yes
S2124,Kashif Siddiqui,Data Science,4.7,11.6,57.4,5,1.0,0.0,Night,Medium,No
S2226,Laiba Chaudhry,Python for Beginners,5.7,37.8,62.5,3,2.0,11.6,Night,Medium,Yes
S2103,Hamza Chaudhry,SQL Mastery,7.0,54.0,84.8,8,14.0,24.3,Evening,High,Yes
S2083,Hamza Rashid,Python for Beginners,4.4,51.3,68.4,8,11.0,30.9,Night,High,Yes
S2054,Zainab Khan,Machine Learning,2.1,7.7,44.8,1,1.0,11.3,Night,Low,No
S2085,Talha Hashmi,Business Analytics,4.2,31.6,47.3,3,5.0,71.2,Morning,Medium,No
S2354,Hamza Warsi,Machine Learning,4.7,27.0,52.0,3,1.0,25.7,Night,Medium,No
S2052,Imran Baig,Python for Beginners,7.0,44.7,83.9,7,9.0,9.8,Afternoon,High,Yes
S2011,Faisal Siddiqui,Deep Learning Fundamentals,3.3,28.3,73.9,3,5.0,35.7,Morning,Medium,Yes
S2215,Sarah Rizvi,Machine Learning,2.5,29.4,63.9,5,0.0,35.4,Afternoon,Medium,Yes
S2075,Usman Ansari,SQL Mastery,7.0,53.9,88.2,6,3.0,28.8,Morning,High,Yes
S2398,Talha Sheikh,Deep Learning Fundamentals,6.0,66.5,92.6,8,12.0,47.5,Evening,High,Yes
S2298,Ahmed Sheikh,Power BI & Tableau,3.7,54.3,33.9,7,1.0,55.8,Afternoon,Medium,Yes
S2128,Yusuf Chaudhry,SQL Mastery,3.3,49.9,71.8,4,0.0,28.8,Morning,Medium,No
S2358,Adeel Chaudhry,Power BI & Tableau,6.3,44.5,99.2,9,14.0,40.9,Afternoon,High,Yes
S2024,Mariam Rashid,Power BI & Tableau,4.0,25.7,59.0,7,5.0,34.9,Evening,Medium,No
S2231,Omar Hashmi,Machine Learning,3.7,44.5,59.0,3,0.0,41.8,Afternoon,Medium,Yes
S2131,Mariam Qureshi,Deep Learning Fundamentals,2.2,16.9,25.6,3,0.0,8.5,Night,Low,No
S2367,Fatima Ansari,Business Analytics,3.7,41.0,42.9,4,2.0,22.9,Evening,Medium,Yes
S2399,Imran Chaudhry,Data Science,2.3,29.0,48.3,5,3.0,29.2,Morning,Medium,Yes
S2205,Mahnoor Warsi,Business Analytics,3.9,37.1,68.2,7,1.0,28.1,Night,Medium,Yes
S2375,Rayyan Ansari,Data Science,4.7,37.9,73.2,4,4.0,14.6,Afternoon,Medium,Yes
S2060,Omar Qureshi,Business Analytics,2.2,16.4,17.5,1,1.0,0.0,Morning,Low,No
S2051,Ayesha Abbasi,Python for Beginners,1.5,35.8,50.0,3,1.0,26.2,Night,Medium,No
S2039,Mahnoor Farooqui,Data Science,0.6,26.2,26.7,1,0.0,27.4,Morning,Low,No
S2279,Zoya Hashmi,Python for Beginners,2.1,7.2,39.9,3,0.0,5.5,Night,Low,No
S2160,Sarah Ansari,Machine Learning,1.7,24.3,58.3,3,5.0,56.1,Evening,Medium,Yes
S2389,Kashif Abbasi,SQL Mastery,3.3,43.9,38.4,5,1.0,9.2,Evening,Medium,No
S2081,Rayyan Malik,Python for Beginners,0.8,13.8,27.9,3,0.0,19.3,Morning,Low,No
S2137,Usman Khan,Machine Learning,3.0,25.5,59.5,5,0.0,47.6,Afternoon,Medium,No
S2262,Talha Malik,SQL Mastery,0.0,29.2,40.8,0,1.0,0.0,Afternoon,Low,No
S2006,Sarah Iqbal,Business Analytics,5.1,37.4,61.2,6,3.0,33.8,Night,Medium,No
S2076,Fatima Iqbal,Python for Beginners,0.5,31.8,45.1,0,1.0,30.2,Afternoon,Low,No
S2015,Faisal Abbasi,Python for Beginners,0.3,17.7,18.8,1,0.0,16.1,Evening,Low,No
S2048,Saad Chaudhry,Data Science,3.2,35.0,68.3,7,3.0,0.0,Morning,Medium,Yes
S2047,Kashif Khan,Machine Learning,1.0,27.4,9.9,3,0.0,34.7,Morning,Low,No
S2071,Iqra Siddiqui,Deep Learning Fundamentals,5.0,53.4,93.1,11,4.0,42.6,Night,High,No
S2314,Talha Rizvi,Python for Beginners,3.2,21.9,55.3,5,2.0,49.4,Night,Medium,Yes
S2352,Zainab Siddiqui,Data Science,1.3,8.1,27.1,1,1.0,5.6,Evening,Low,No
S2080,Bilal Ansari,Business Analytics,3.5,19.5,64.5,3,5.0,22.6,Afternoon,Medium,No
S2386,Rayyan Warsi,Power BI & Tableau,1.5,35.4,62.6,6,1.0,32.6,Evening,Medium,Yes
S2031,Zainab Malik,Deep Learning Fundamentals,0.6,18.9,32.7,1,0.0,13.4,Evening,Low,No
S2349,Laiba Abbasi,Power BI & Tableau,3.7,53.6,64.7,7,0.0,47.5,Night,Medium,Yes
S2162,Sana Siddiqui,Python for Beginners,6.2,34.0,100.0,11,13.0,55.2,Evening,High,Yes
S2187,Iqra Rizvi,Machine Learning,3.7,23.1,72.9,6,0.0,49.7,Morning,Medium,Yes
S2116,Amina Siddiqui,Business Analytics,3.2,10.9,27.6,2,1.0,15.8,Morning,Low,No
S2026,Faisal Rashid,Python for Beginners,1.3,19.5,44.0,0,1.0,5.2,Morning,Low,Yes
S2066,Rayyan Rashid,SQL Mastery,5.7,39.8,70.7,7,3.0,39.9,Afternoon,Medium,No
S2189,Faisal Chaudhry,SQL Mastery,5.1,59.8,87.3,8,6.0,56.1,Morning,High,Yes
S2327,Zoya Rizvi,Business Analytics,5.3,28.6,76.9,10,6.0,49.0,Morning,High,Yes
S2287,Hina Rashid,Data Science,1.1,16.2,17.8,1,1.0,3.3,Night,Low,No
S2263,Laiba Warsi,Machine Learning,2.6,17.6,16.9,1,1.0,21.2,Morning,Low,No
S2392,Rabia Warsi,Machine Learning,2.0,2.7,32.4,1,1.0,4.4,Morning,Low,No
S2069,Hamza Abbasi,SQL Mastery,1.7,17.7,50.9,3,1.0,11.6,Night,Low,No
S2167,Faisal Sheikh,SQL Mastery,1.9,6.9,19.9,2,0.0,0.9,Night,Low,No
S2078,Usman Rizvi,Machine Learning,3.2,39.7,51.9,3,5.0,14.7,Evening,Medium,No
S2225,Sana Malik,SQL Mastery,1.4,5.3,25.6,2,1.0,33.8,Night,Low,No
S2328,Talha Abbasi,Deep Learning Fundamentals,1.2,14.2,36.3,3,1.0,11.6,Evening,Low,No
S2059,Bilal Malik,Python for Beginners,2.4,2.0,33.7,0,1.0,11.2,Afternoon,Low,No
S2043,Faisal Hashmi,Python for Beginners,1.8,10.0,41.7,0,0.0,27.8,Morning,Low,No
S2005,Ahmed Abbasi,Deep Learning Fundamentals,4.9,68.5,88.3,8,8.0,11.3,Night,High,Yes
S2122,Hamza Siddiqui,Deep Learning Fundamentals,2.1,20.4,38.5,7,4.0,16.6,Evening,Medium,Yes
S2181,Saad Siddiqui,SQL Mastery,3.8,26.7,63.3,3,4.0,23.7,Morning,Medium,Yes
S2156,Ayesha Baig,Data Science,1.3,16.1,15.7,1,0.0,9.8,Night,Low,No
S2196,Nida Qureshi,Business Analytics,1.8,23.4,69.8,3,2.0,31.0,Afternoon,Medium,No
S2261,Zainab Warsi,Python for Beginners,3.3,42.4,73.2,7,1.0,48.1,Afternoon,Medium,Yes
S2110,Zoya Chaudhry,Deep Learning Fundamentals,2.0,23.5,40.1,2,0.0,13.2,Evening,Low,No
S2119,Kashif Chaudhry,SQL Mastery,0.6,21.1,39.1,1,1.0,0.7,Night,Low,No
S2241,Mariam Khan,SQL Mastery,4.3,34.3,47.7,6,5.0,45.3,Morning,Medium,No
S2330,Amina Khan,Data Science,2.0,15.2,22.4,2,2.0,36.6,Evening,Low,No
S2007,Faisal Siddiqui,Python for Beginners,4.5,47.5,61.4,3,5.0,48.5,Night,Medium,Yes
S2291,Usman Iqbal,Data Science,0.8,21.9,14.2,3,1.0,13.5,Afternoon,Low,No
S2192,Fatima Farooqui,SQL Mastery,5.0,55.5,96.9,11,10.0,25.4,Morning,High,Yes
S2210,Zainab Khan,Business Analytics,2.2,20.1,24.8,1,0.0,0.0,Evening,Low,No
S2271,Mariam Hashmi,Deep Learning Fundamentals,1.1,18.1,35.1,2,1.0,9.3,Evening,Low,No
S2357,Hamza Siddiqui,Deep Learning Fundamentals,2.9,44.3,57.3,4,2.0,20.7,Night,Medium,Yes
S2396,Waqas Iqbal,Machine Learning,0.0,18.0,21.3,0,1.0,28.8,Evening,Low,No
S2228,Bilal Siddiqui,Business Analytics,6.6,38.6,86.7,9,13.0,40.8,Night,High,Yes
S2195,Rayyan Rashid,Python for Beginners,2.4,34.0,56.8,4,5.0,43.3,Afternoon,Medium,Yes
S2359,Faisal Qureshi,Business Analytics,3.1,21.2,39.7,6,2.0,30.5,Night,Medium,Yes
S2004,Hina Siddiqui,SQL Mastery,5.2,51.8,88.8,9,14.0,27.5,Evening,High,Yes
S2255,Mariam Malik,Power BI & Tableau,3.5,47.0,73.5,7,2.0,31.7,Morning,Medium,No
S2123,Bilal Hashmi,Power BI & Tableau,2.0,14.8,52.2,4,2.0,27.6,Afternoon,Medium,Yes
S2079,Hamza Malik,Python for Beginners,1.3,20.0,41.5,0,1.0,6.9,Evening,Low,Yes
S2322,Usman Hashmi,Business Analytics,0.8,28.9,58.5,1,1.0,10.7,Morning,Low,No
S2065,Omar Ansari,Data Science,1.7,2.0,14.5,0,1.0,18.5,Morning,Low,No
S2019,Waqas Abbasi,Deep Learning Fundamentals,3.3,40.8,71.7,3,5.0,11.9,Morning,Medium,No
S2152,Usman Ansari,Deep Learning Fundamentals,3.9,60.0,74.1,7,0.0,32.2,Afternoon,Medium,No
S2394,Sadia Warsi,Power BI & Tableau,1.6,3.4,26.1,1,0.0,16.3,Evening,Low,Yes
S2044,Sana Rizvi,SQL Mastery,5.4,57.3,72.5,6,7.0,55.5,Afternoon,High,Yes
S2388,Sarah Sheikh,Machine Learning,2.1,10.9,35.2,1,0.0,7.9,Afternoon,Low,No
S2164,Waqas Hashmi,SQL Mastery,4.2,32.8,39.2,4,5.0,34.8,Afternoon,Medium,Yes
S2270,Rabia Baig,Data Science,4.1,15.8,74.6,3,3.0,44.8,Evening,Medium,Yes
S2141,Faisal Farooqui,Machine Learning,0.6,38.3,46.3,2,0.0,24.3,Afternoon,Low,Yes
S2383,Faisal Ansari,Deep Learning Fundamentals,1.9,39.9,57.6,6,0.0,25.0,Morning,Medium,Yes
S2310,Zainab Rashid,Machine Learning,3.6,41.2,53.4,7,3.0,27.7,Evening,Medium,Yes
S2302,Zain Farooqui,Machine Learning,3.6,32.9,67.7,5,0.0,42.3,Morning,Medium,Yes
S2387,Imran Warsi,Business Analytics,3.0,41.4,58.7,3,4.0,0.0,Night,Medium,Yes
S2169,Faisal Farooqui,Data Science,0.0,17.0,42.2,2,0.0,0.0,Afternoon,Low,No
S2335,Rayyan Chaudhry,Python for Beginners,1.9,43.1,45.0,3,1.0,12.3,Afternoon,Low,Yes
S2046,Omar Siddiqui,Power BI & Tableau,3.3,34.5,80.1,5,0.0,50.1,Morning,Medium,Yes
S2295,Rabia Chaudhry,Power BI & Tableau,3.4,40.0,61.0,7,5.0,15.3,Afternoon,Medium,Yes
S2144,Omar Warsi,Data Science,4.2,47.8,42.1,4,5.0,43.0,Evening,Medium,Yes
S2219,Talha Siddiqui,Business Analytics,1.6,16.2,15.2,2,1.0,0.0,Evening,Low,No
S2246,Bilal Malik,Deep Learning Fundamentals,2.6,36.8,77.1,7,3.0,30.7,Afternoon,Medium,No
S2211,Sana Rashid,Business Analytics,3.8,21.7,76.8,7,1.0,10.8,Afternoon,Medium,Yes
S2022,Fatima Iqbal,Machine Learning,3.9,30.3,71.1,3,4.0,27.2,Night,Medium,Yes
S2267,Ahmed Warsi,Deep Learning Fundamentals,1.9,29.8,80.2,4,5.0,4.5,Afternoon,Medium,Yes
S2109,Mariam Rashid,SQL Mastery,5.6,49.6,94.5,9,4.0,55.1,Afternoon,High,Yes
S2178,Sarah Malik,Deep Learning Fundamentals,4.6,60.6,96.3,11,13.0,44.7,Night,High,Yes
S2058,Amina Rashid,Power BI & Tableau,0.7,5.2,33.0,1,1.0,28.6,Morning,Low,No
S2307,Hamza Malik,Machine Learning,4.9,35.1,79.6,7,4.0,20.4,Morning,Medium,No
S2285,Kashif Sheikh,Deep Learning Fundamentals,3.3,56.3,92.6,10,8.0,18.7,Afternoon,High,No
S2266,Zoya Rashid,Deep Learning Fundamentals,3.4,27.7,48.7,3,4.0,23.6,Afternoon,Medium,Yes
S2376,Talha Farooqui,Power BI & Tableau,1.8,2.0,19.8,0,1.0,9.7,Morning,Low,No
S2171,Zoya Iqbal,Deep Learning Fundamentals,0.8,4.6,21.2,2,1.0,3.5,Night,Low,No
S2030,Ahmed Abbasi,SQL Mastery,1.3,23.6,83.5,7,0.0,34.9,Evening,Medium,Yes
S2163,Ahmed Ansari,Deep Learning Fundamentals,1.6,13.5,55.7,3,1.0,7.0,Afternoon,Low,Yes
S2150,Rabia Malik,Machine Learning,4.5,41.0,97.6,7,8.0,49.5,Morning,High,Yes
S2380,Waqas Baig,Deep Learning Fundamentals,0.3,5.4,16.9,3,1.0,35.2,Evening,Low,Yes
S2200,Rayyan Iqbal,SQL Mastery,2.1,2.0,42.1,2,1.0,9.0,Afternoon,Low,No
S2304,Zain Siddiqui,SQL Mastery,2.0,4.6,41.6,2,1.0,19.6,Evening,Low,No
S2095,Amina Ansari,Business Analytics,6.2,46.0,88.1,7,2.0,63.3,Evening,High,Yes
S2369,Iqra Siddiqui,Data Science,5.2,43.7,85.4,6,6.0,28.6,Morning,High,Yes
S2397,Sarah Khan,Python for Beginners,1.0,8.9,50.4,0,0.0,13.4,Afternoon,Low,No
S2086,Rabia Khan,Data Science,0.6,26.8,24.8,2,0.0,8.5,Evening,Low,No
S2133,Amina Abbasi,Machine Learning,0.8,7.5,26.4,2,1.0,38.8,Night,Low,Yes
S2188,Sarah Khan,Machine Learning,2.1,35.5,51.1,7,4.0,24.1,Evening,Medium,Yes
S2090,Sadia Hashmi,Machine Learning,4.4,55.4,90.6,6,6.0,43.6,Night,High,Yes
S2012,Imran Rizvi,Data Science,2.9,34.5,58.4,5,1.0,59.9,Morning,Medium,Yes
S2035,Sana Hashmi,Deep Learning Fundamentals,0.1,13.7,34.0,3,0.0,16.1,Afternoon,Low,Yes
S2218,Bilal Malik,Python for Beginners,4.7,33.9,51.8,7,5.0,17.0,Morning,Medium,No
S2073,Rayyan Warsi,Deep Learning Fundamentals,3.0,34.2,74.4,7,5.0,27.9,Afternoon,Medium,No
S2368,Hina Qureshi,SQL Mastery,5.5,56.5,100.0,8,6.0,61.0,Afternoon,High,Yes
S2232,Fatima Rashid,Power BI & Tableau,4.7,42.5,93.4,11,5.0,52.3,Afternoon,High,Yes
S2237,Waqas Siddiqui,Python for Beginners,4.4,52.0,90.1,9,10.0,35.7,Evening,High,Yes
S2305,Fatima Malik,Data Science,3.0,23.1,86.0,7,4.0,27.8,Afternoon,Medium,Yes
S2140,Zainab Qureshi,Machine Learning,0.8,23.6,40.5,3,1.0,19.0,Evening,Low,No
S2395,Zoya Sheikh,Power BI & Tableau,2.9,15.1,52.1,0,0.0,18.3,Morning,Low,No
S2381,Rayyan Sheikh,Business Analytics,5.1,61.8,92.1,11,13.0,34.6,Afternoon,High,Yes
S2112,Sarah Warsi,SQL Mastery,5.1,35.1,54.2,5,0.0,24.2,Night,Medium,Yes
S2373,Laiba Abbasi,SQL Mastery,2.8,29.5,57.4,3,0.0,31.5,Morning,Medium,No
S2013,Laiba Rashid,Machine Learning,5.2,38.6,94.1,8,13.0,47.2,Morning,High,Yes
S2221,Zainab Ansari,Deep Learning Fundamentals,4.6,45.4,97.0,9,14.0,39.9,Afternoon,High,Yes
S2088,Fatima Siddiqui,Python for Beginners,2.3,21.9,61.8,4,1.0,24.5,Night,Medium,No
S2199,Hamza Chaudhry,Python for Beginners,3.5,34.9,50.9,5,2.0,41.6,Morning,Medium,No
S2214,Rayyan Malik,SQL Mastery,2.4,28.8,91.0,4,5.0,56.3,Morning,Medium,No
S2360,Rayyan Baig,Power BI & Tableau,2.7,48.9,68.2,5,5.0,17.2,Evening,Medium,Yes
S2235,Yusuf Malik,Machine Learning,3.3,53.9,68.7,4,5.0,44.2,Night,Medium,Yes
S2344,Waqas Ansari,Python for Beginners,3.1,36.2,49.1,3,2.0,25.8,Morning,Medium,Yes
S2165,Omar Rizvi,Power BI & Tableau,0.2,14.0,36.8,0,0.0,28.9,Morning,Low,No
S2176,Zainab Sheikh,Power BI & Tableau,2.9,40.8,68.3,7,2.0,31.9,Afternoon,Medium,No
S2280,Usman Ansari,Power BI & Tableau,3.5,35.2,59.3,5,3.0,35.6,Evening,Medium,Yes
S2318,Sadia Rizvi,Business Analytics,1.1,24.4,54.7,7,1.0,45.4,Night,Medium,Yes
S2097,Sarah Abbasi,Business Analytics,2.8,39.5,62.4,3,5.0,45.3,Night,Medium,Yes
S2206,Mariam Qureshi,Business Analytics,2.6,39.2,57.5,6,5.0,16.4,Evening,Medium,Yes
S2251,Zainab Iqbal,Data Science,1.6,2.4,14.0,3,1.0,24.5,Morning,Low,Yes
S2042,Talha Qureshi,Deep Learning Fundamentals,3.5,34.9,66.8,3,2.0,37.4,Morning,Medium,Yes
S2064,Waqas Baig,Data Science,4.1,29.9,55.1,7,2.0,17.6,Evening,Medium,Yes
S2223,Zain Rashid,Power BI & Tableau,1.3,19.5,35.2,1,0.0,11.3,Morning,Low,Yes
S2197,Sarah Rashid,SQL Mastery,1.4,6.3,26.6,2,1.0,19.9,Morning,Low,No
S2096,Nida Khan,Deep Learning Fundamentals,2.4,11.1,33.4,0,1.0,14.3,Evening,Low,No
S2014,Laiba Chaudhry,Business Analytics,3.8,11.6,65.7,3,2.0,46.4,Morning,Medium,No
S2272,Hamza Siddiqui,SQL Mastery,2.0,11.5,44.7,1,1.0,0.0,Morning,Low,No
S2180,Talha Rashid,Machine Learning,4.1,39.5,40.8,3,3.0,28.7,Evening,Medium,No
S2018,Omar Ansari,Deep Learning Fundamentals,2.9,19.6,60.2,4,2.0,3.1,Morning,Medium,Yes
S2292,Nida Baig,Python for Beginners,1.1,12.7,40.9,1,0.0,2.0,Evening,Low,No
S2234,Rayyan Rashid,Business Analytics,4.7,43.0,72.7,8,13.0,58.1,Morning,High,Yes
